86,994,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
87,997,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
88,1000,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
89,1001,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
90,1002,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
91,1003,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,"$12.139.872,00",,TV
92,1004,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,"$12.139.872,00",,TV
93,1005,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
94,1006,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
95,1007,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
96,1008,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
97,1015,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
98,1016,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
99,1017,2017-01-30,2017-02-01,2017-08-24,23586038,2017-12-06,"$11.793.019,00",,CI
100,1018,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
101,1019,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
102,1020,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,"$12.139.872,00",,CI
103,1021,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
104,1036,2017-01-30,2017-02-01,2017-12-08,35610293,,,,CI
105,1046,2017-01-30,2017-02-01,2017-09-10,19808162,2017-11-30,"$7.202.968,00",,CI
106,1047,2017-01-30,2017-02-01,2017-09-10,19808162,2017-11-30,"$7.202.968,00",,CI
107,1048,2017-01-30,2017-02-01,2017-12-29,29610000,,,,SPI
108,1053,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
109,1054,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
110,1055,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
111,1056,2017-01-30,2017-02-01,2017-08-30,24279745,,,,CI
112,1057,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
113,1058,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
114,1059,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
115,1060,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
116,1061,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
117,1062,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
118,1063,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
119,1064,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
120,1065,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
121,1066,2017-01-30,2017-02-01,2017-09-10,25435923,2017-11-30,"$9.249.427,00",,CI
122,1067,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
123,1077,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
124,1078,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
125,1079,2017-01-30,2017-02-01,2017-08-31,24279745,2017-11-30,"$10.405.605,00",,TV
126,1080,2017-01-30,2017-02-01,2017-12-29,17546667,,,,SPI
127,1081,2017-01-30,2017-02-01,2017-12-15,36419618,,,,TV
128,1082,2017-01-30,2017-02-01,2017-06-30,17342675,,,,CI
129,1083,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
130,1084,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
131,1085,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
132,1086,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
133,1087,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
134,1088,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
135,1089,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
136,1093,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
137,1094,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
138,1097,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
139,1115,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
140,1116,2017-01-30,2017-02-01,2017-11-30,34685350,,,,CI
141,1121,2017-01-30,2017-02-01,2017-12-15,36419617,,,,CI
