55,928,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,46,7417
56,929,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,47,7317
57,930,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,41,7217
58,931,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,48,7117
59,932,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,46,8517
60,933,2017-01-27,2017-02-01,2017-08-31,24279745,2017-12-15,12139872,ACTIVO,CI,49,7717
61,934,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,48,8417
62,935,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,47,8317
63,936,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,42,8217
64,937,2017-01-27,2017-02-01,2017-12-15,28361687,0/0,0,ACTIVO,CI,50,8117
65,938,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,33,7817
66,939,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,51,8017
67,940,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,52,7917
68,941,2017-01-27,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,33,7617
69,964,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,53,9217
70,965,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,51,8617
71,966,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,45,9017
72,967,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,32,8817
73,968,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,51,8717
74,969,2017-01-30,2017-02-01,2017-09-30,27748280,2017-12-15,8671338,ACTIVO,CI,41,9317
75,970,2017-01-30,2017-02-01,2017-08-24,23586038,2017-12-06,11793019,ACTIVO,CI,54,9117
76,971,2017-01-30,2017-02-01,2017-12-29,17546667,0/0,0,ACTIVO,SPI,55,8917
77,973,2017-01-30,2017-02-01,2017-12-29,17546667,0/0,0,ACTIVO,SPI,56,9817
78,974,2017-01-30,2017-02-01,2017-12-23,17226667,0/0,0,ACTIVO,SPI,57,9917
79,977,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,58,9417
80,978,2017-01-30,2017-02-01,2017-12-15,41943972,0/0,0,ACTIVO,CI,59,9517
81,979,2017-01-30,2017-02-01,2017-12-15,28361687,0/0,0,ACTIVO,CI,43,9617
82,980,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,38,9717
83,991,2017-01-30,2017-02-01,2017-12-15,37734512,0/0,0,ACTIVO,CI,58,10017
84,992,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,58,10117
85,993,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,60,10217
86,994,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,47,10317
87,997,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,48,10417
88,1000,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,61,11317
89,1001,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,61,11217
90,1002,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,62,11117
91,1003,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,12139872,ACTIVO,TV,63,10817
92,1004,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,12139872,ACTIVO,TV,63,10717
93,1005,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,64,10617
94,1006,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,34,11017
95,1007,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,40,10917
96,1008,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,64,10517
97,1015,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,65,11917
98,1016,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,53,11817
99,1017,2017-01-30,2017-02-01,2017-08-24,23586038,2017-12-06,11793019,ACTIVO,CI,66,11717
100,1018,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,64,12017
101,1019,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,67,12117
102,1020,2017-01-30,2017-02-01,2017-08-31,24279745,2017-12-15,12139872,ACTIVO,CI,49,11417
103,1021,2017-01-30,2017-02-01,2017-12-15,36419617,0/0,0,ACTIVO,CI,33,11617
104,1036,2017-01-30,2017-02-01,2017-12-08,35610293,0/0,0,ACTIVO,CI,68,12517
105,1046,2017-01-30,2017-02-01,2017-09-10,19808162,2017-11-30,7202968,ACTIVO,CI,69,12217
106,1047,2017-01-30,2017-02-01,2017-09-10,19808162,2017-11-30,7202968,ACTIVO,CI,70,12317
107,1048,2017-01-30,2017-02-01,2017-12-29,29610000,0/0,0,ACTIVO,SPI,71,12417
108,1053,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,72,13317
109,1054,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,73,13217
110,1055,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,74,13117
111,1056,2017-01-30,2017-02-01,2017-08-30,24279745,0/0,0,ACTIVO,CI,73,13017
112,1057,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,73,12917
113,1058,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,75,12817
114,1059,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,75,12617
115,1060,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,75,12717
116,1061,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,76,16217
117,1062,2017-01-30,2017-02-01,2017-11-30,34685350,0/0,0,ACTIVO,CI,77,17017
